"","quantile","coef","lower","upper"
"1",0.1,-9.00295857988166,-9.40362727029428,-8.60228988946904
"2",0.15,-9.68333333333329,-10.134200946721,-9.23246571994559
"3",0.2,-9.10268817204308,-9.52324807432877,-8.68212826975738
"4",0.25,-9.18621212121212,-9.63633855295958,-8.73608568946466
"5",0.3,-9.38655913978496,-9.83657820022872,-8.93654007934119
"6",0.35,-8.9,-9.35568401570545,-8.44431598429455
"7",0.4,-8.30000000000003,-8.75439937248806,-7.845600627512
"8",0.45,-7.84328896283972,-8.3162079101673,-7.37037001551215
"9",0.5,-7.95055555555551,-8.43208382132008,-7.46902728979095
"10",0.55,-7.68416666666664,-8.20949896347026,-7.15883436986303
"11",0.6,-7.02093137254902,-7.53778230435642,-6.50408044074162
"12",0.65,-6.36198501872645,-6.90236817285677,-5.82160186459613
"13",0.7,-6.3831081081081,-6.9369513554596,-5.8292648607566
"14",0.75,-5.72165318957774,-6.30012382442692,-5.14318255472856
"15",0.8,-4.64521452145205,-5.25721714936947,-4.03321189353464
"16",0.85,-3.21547049441787,-3.8675720354626,-2.56336895337314
"17",0.9,-2.16016949152545,-2.80404090093147,-1.51629808211943
