Gender,Chicago Age,2025 CQ,2024 CQ,2014 CQ
M,Under 30,10500,11100,11700
M,30-34,10500,11400,11700
M,35-39,10800,11400,11700
M,40-44,11100,12000,11700
M,45-49,11700,12000,11700
M,50-54,12000,12900,11700
M,55-59,12600,12900,11700
M,60-64,13500,14400,11700
M,65-69,14400,14400,11700
M,70-74,15300,16200,11700
M,75-79,16200,16200,11700
M,80 and Over,17400,19500,11700
F,Under 30,12300,12900,13500
F,30-34,12300,13200,13500
F,35-39,12600,13200,13500
F,40-44,12900,13800,13500
F,45-49,13500,13800,13500
F,50-54,13800,15600,13500
F,55-59,14400,15600,13500
F,60-64,15300,18000,13500
F,65-69,16200,18000,13500
F,70-74,17100,21300,13500
F,75-79,18000,21300,13500
F,80 and Over,19200,22200,13500
